MODEL,SCENARIO,REGION,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
IIASA GDP,SSP1_v9_130219,BOL,,,,,,,,,,,,,3732.5347309312715,4233.7154175714995,4781.913360632273,5465.612070326626,6410.636788990926,7704.0017867012675,9368.189230094627,11335.968329802114,13463.89855916623,15607.15228508066,17679.655988512175,19635.936895500876,21527.4146890262,23408.65817261064,25309.396820595008,27232.301658848155,29167.72516697564,31099.599636192972,33219.64243606042,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,BRA,,,,,,,,,,,,,9537.697642323543,10823.097158507104,12508.596064299552,14170.204905287024,15855.486478099405,17942.82037864699,20516.446772486586,23475.279757908615,26616.66903064994,29736.531146712572,32651.40503256999,35516.9862634011,38552.794246336496,41908.69676831992,45580.81268075744,49517.70897767612,53746.62645118097,58220.50827025261,62927.87619146635,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,BRB,,,,,,,,,,,,,23881.33521132723,21306.700001356337,19451.29481109823,18477.003047974897,18932.128045904457,20451.718692346934,22676.30968706512,25293.07510423221,28032.361185049827,30751.1169129818,33433.66963272028,36271.81130587818,39394.260666618124,42876.02621943693,46763.216415697185,50987.8747724102,55425.2890128233,60074.754882907066,64891.24683072659,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,BRN,,,,,,,,,,,,,44942.73685519602,37811.352215716935,28927.69171688724,23091.284364639803,20406.719871188485,19757.390428521972,20400.69938749737,21882.673114268528,24527.22501256491,28045.510481388144,31889.273872169,35572.96128403116,39138.43205095148,42774.271721769444,46556.079831733616,50467.690279135764,54625.34384588818,59072.050592678024,63810.43220334961,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,BTN,,,,,,,,,,,,,4346.049093431462,6461.595003746022,9135.338729014104,11746.893528142498,13950.68098579877,15877.170685677853,18046.52637676183,20636.70127505049,23722.858069946902,27245.634937374558,31009.379745303162,34870.38003711619,38912.03073227221,43219.66015099537,47815.25572375515,52609.48472866578,57520.645632135594,62467.90177179591,67554.5724436908,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,BWA,,,,,,,,,,,,,8797.152422333198,10092.34996227993,12120.311113594236,15399.48806709241,19316.12558897355,23458.270967097866,27390.13957557978,30987.735578667693,34253.86791495547,37456.48518801207,40759.3823975868,44303.86977918964,48047.12032701114,51941.22342185246,55988.97212616033,60188.39072138863,64566.51520321323,69137.21855476298,73916.00286840479,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,CAF,,,,,,,,,,,,,697.3487271988532,761.5448817118948,939.3402010589468,1153.909891349623,1434.7031619430477,1795.4031687161028,2260.411577269915,2851.5644818016463,3595.5400015860087,4506.794360445765,5603.5396457678635,6882.081379195729,8334.33050135695,9934.332993733415,11673.53427674377,13786.760722145738,16231.956500905862,18863.060281348313,21477.123780422062,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,CAN,,,,,,,,,,,,,35671.55490636927,38181.479295820965,41146.02979578479,45345.82775274227,49781.963173791664,54176.04571831779,58296.504408898174,62103.98494154601,65651.31865506138,69172.51987073815,72853.9287578697,76801.74209188655,80976.96574222347,85277.68887610889,89676.1771838851,94332.89628680328,99208.36618780192,104260.70632963291,109562.17195767848,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,CHE,,,,,,,,,,,,,39320.40570051364,41146.04943004077,42776.20166550713,44583.26986388618,46885.39234331458,49648.699404586776,52759.656446893096,56101.261039731035,59548.11645208941,63108.359719773376,66821.18605243889,70859.92573626108,75076.49421224277,79405.87158335336,84094.43265678275,89179.84195183116,94619.07002852106,100420.6263991361,106623.49949918655,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,CHL,,,,,,,,,,,,,11647.589863144904,13422.513930969202,14993.606505402224,16971.39854084931,19270.70145923187,21700.61151785423,24173.124708899635,26575.051830023465,28795.44565334666,30766.068442933938,32618.102161556402,34563.82105214115,36775.81162568415,39342.26245608069,42229.778089480824,45411.41791618683,48813.55108370224,52348.68233177111,55961.48856182192,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,CHN,,,,,,,,,,,,,6792.19042646255,12012.485195651363,17704.881078980587,23415.01879628371,28523.59258302125,32860.17497440893,36487.75761929448,39851.80798359745,43064.555139128395,46208.246575582416,49269.41632706563,52285.03025602407,55267.47901033233,58209.4005139116,61161.19354665073,64189.66302338845,67165.35679264354,69940.73559783904,72703.14636360778,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,CIV,,,,,,,,,,,,,1404.0278200344983,1379.5193246960803,1499.8073666547693,1714.8085627968958,2062.760675746075,2572.025906003472,3273.2422069995314,4195.244266817986,5344.398053648253,6684.709849688191,8244.585726912652,10001.91060569835,11939.377838666493,13995.096473724072,16119.742184898356,18269.357009324453,20424.20741007073,22578.638783247545,24734.12850807392,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,CMR,,,,,,,,,,,,,1740.8126305853552,1979.8743149572542,2291.0588817928547,2779.641950975395,3432.266741826559,4245.679406281323,5222.461251895334,6373.460604755477,7714.4138984254105,9239.289412697583,10934.080693940368,12969.104796459995,15327.55042039848,17891.619521986122,20477.14714523826,22999.312157376862,25442.601313913397,27824.69062226954,30174.09849879253,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,COD,,,,,,,,,,,,,241.9744184453235,431.0776972601695,843.6847468783585,1674.4746864907638,2894.1926923768333,4366.094929393926,5922.613960492918,7508.96741348039,9163.042050341362,10930.897262318122,12839.218310953176,14881.290324193362,17042.768421916062,19285.688182260925,21572.04350179617,23873.95556118721,26188.378954469674,28517.747287944218,30865.409278798645,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,COG,,,,,,,,,,,,,2206.6417802954193,2743.0467538384332,3829.1574666933498,5457.160214871404,7269.675351199209,9025.625533354767,10652.229334299673,12250.087744888571,13950.822381701546,15793.481544997965,17772.290573475748,20110.837452656513,22752.442137119222,25530.337421714954,28229.557216796147,30780.213077708075,33303.576285394265,36077.73045256711,39294.88387351081,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,COL,,,,,,,,,,,,,7101.9957733050405,8730.742956020591,10048.359453117495,11451.934168676313,12956.929662368173,14527.908463984684,16630.13943217289,19244.314203366266,22134.54337864865,24873.828847394565,27271.532272971883,29295.918523323424,31054.20231828873,32845.1313087534,34928.45543350936,37407.71050757941,40304.92735487451,43506.10522009179,46918.07199791229,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,COM,,,,,,,,,,,,,936.1596410865166,985.8444225928167,1170.6114648814075,1465.9060082761646,1843.825845117063,2314.3195278435664,2938.644877929235,3771.6460727052927,4844.470938893481,6113.028164202113,7487.638430847827,9001.051134314086,10671.440338300643,12499.26901811414,14432.242271055708,16440.426997265302,18503.33537637249,20613.472359204476,22775.762612189912,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,CPV,,,,,,,,,,,,,3808.5057153370567,4933.9216526752025,5978.169488420586,6711.788516032195,7415.078126548492,8228.167720547384,9288.766371335108,10600.267337370544,12190.700634073368,13964.56839285751,15839.427552350846,17768.28038803509,20283.17810355824,23238.52511736165,26277.513384294303,28951.82478523773,31214.529068593158,33306.22582604131,35489.25913324314,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,CRI,,,,,,,,,,,,,10736.028163813375,12614.339249224815,13946.13291395319,15161.82087868331,16459.71128507167,17829.62738522198,19421.924974714602,21160.630397514804,23608.95355391249,26555.14179237036,29633.81678708706,32359.270329165156,34954.57343988124,37708.20431091845,40894.50295606866,44447.464568003496,48219.43780649744,52171.6355095829,56377.39049912807,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,CUB,,,,,,,,,,,,,11366.190496831361,14226.180871570601,17241.03881592342,19979.79797236127,22589.729155848483,25016.110185186677,27352.622679273267,29614.63824935637,31817.29357075994,34097.220451451394,36560.008801609205,39233.298394752586,41990.98778727042,44879.76942936448,48020.21344716402,51698.40112414654,55783.570272122735,60100.01055803119,64594.66418299158,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,CYP,,,,,,,,,,,,,18676.472145581003,22361.254088931786,27332.65239100685,33010.66507930001,37995.10855872787,42166.699550660865,45808.95755243959,49188.79064326724,52480.87793364196,55866.365278901314,59455.146613795274,63300.41562193734,67313.37725876363,71549.21120844036,75947.45550075093,80465.7367051442,85169.67869062423,90071.15022773745,95285.79116607647,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,CZE,,,,,,,,,,,,,22441.314655373782,24582.152205601353,24861.99239313167,25079.16285164854,25936.05053761168,27386.20958068579,29210.311251714676,31163.186226097845,33146.50181046986,35296.39606502643,37785.90269734533,40710.710972120636,43977.14485393238,47492.76696683202,51214.29427569862,55031.07521907687,59124.12293706419,63660.140699276024,68751.58009282558,,,,,,,,,,
IIASA GDP,SSP1_v9_130219,DEU,,,,,,,,,,,,,32310.277489215645,32661.273223122764,32774.745082039946,33287.155871882525,34473.14297312637,36302.52523980132,38635.338232922644,41365.101356855754,44389.984357119385,47660.83789409226,51115.438378213454,54757.6765617276,58567.09001254133,62586.66859610453,66930.22357736873,71707.87434484977,76843.79623511719,82230.51508685217,88041.08458294005,,,,,,,,,,
